request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Make a payment of IDR 15,656,000 today. After this payment, you will still have at least IDR 24,768,300 available to use over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Make a payment of ZAR 6,670 today. After this payment, you will still have at least ZAR 20,500 available to use over the next 90 days."
request_28,271.5525,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Please pay the full amount of EUR 1,302.40 on 15 August 2024. Making a payment before this date would reduce the balance to less than the required minimum of EUR 1,100."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Make a payment of ZAR 51,524 today. After this payment, you will still have at least ZAR 28,300 available to use over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,3168502.5625,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Please pay the full amount of IDR 18,164,000 on 15 November 2024. Making a payment before this date would reduce the balance below the required minimum of IDR 16,588,900."
request_32,14420.1575,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Make a full payment of ZAR 40,018 on 15 April 2025. Paying before this date would reduce the balance to less than the required minimum of ZAR 35,700."
request_33,40613.4575,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Please pay the full amount of INR 118,000 on 15 March 2026. Making a payment before this date would reduce the balance to less than the required minimum of INR 102,100."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Make a payment of INR 129,400 today. After this payment, you will still have at least INR 138,500 available to use over the next 90 days."
request_35,27264.305,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Make a full payment of INR 212,000 on 15 January 2026. Paying before this date would reduce the balance to less than the required minimum of INR 106,400."
request_36,549.36,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Please pay the full amount of USD 3,954 on 15 September 2026. Making a payment before this date would reduce the balance below the required minimum of USD 2,400."
